key,en,ru,pt-br,tr-tr,zh-cn,es-es,de,fr-fr,jp,ko,pl,notes
lang,English,Русский,Português [Brasil],Türkçe,简体中文,Español (España),Deutsch,Français,日本語,한국어,Polska,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,CREDITS:
,,Russian Translations by Alex(GoD),,,,,,,,,,
,,,Brazilian Portuguese Translations by Absent Friend (Emília),,,,,,,,,
,,,,Turkish Translations by Dylan Rhodes,,,,,,,,
,,,,,Chinese Translations by SingularityNeko,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,TRANSLATIONS!!!
,,,,,,,,,,,,"   Hi, UserK here! (use quotation marks like this to use commas (they must also be at the very beginning and very end of each intividual translation!!!!))"
,,,,,,,,,,,,
,,,,,,,,,,,,I have tried to clarify some translations via to the best of my abilities; but they may not be perfect; feel free to add edit or remove any notes!!
,,,,,,,,,,,,Please ping me on the Noita Discord; Chemical Curiosities discord or just dm me @UserK on Discord if you have any queries
,,,,,,,,,,,,I would be more than happy to assist in any additions or modifications to the translations and will try my best to answer any questions you may have
,,,,,,,,,,,,
,,,,,,,,,,,,Just let me know and I'll help any way I can
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,Arcane Alchemy
,,,,,,,,,,,,
,,,,,,,,,,,,Materials!
,,,,,,,,,,,,
mat_aa_hitself,Stop Hitting Yourself,Перестань Бить Себя,Pare de se bater,Kendine Vurmayı Bırak,别打自己了,,,,,,,"a common playground joke wherein a target will be physically forced into hitting themself, a common gag in cartoons"
mat_aa_dark_matter,Dark Matter,Тёмная Материя,Matéria escura,Kara Madde,暗物质,,,,,,,like the scientific form of matter
mat_aa_static_charge,Static Charge,Статический Заряд,Carga estática,Statik Elektrik,静电荷,,,,,,,
mat_aa_repultium,Repultium,Отталкиватий,Repúlsio,İticm,排斥魔药,,,,,,,like Repulsion
mat_aa_hungry_slime,Hungry Slime,Голодная Слизь,Gosma faminta,Aç Balçık,饥饿史莱姆,,,,,,,
mat_aa_creeping_slime,Creeping Slime,Ползучая Слизь,Gosma sinistra,Sürüngen Balçık,爬行史莱姆,,,,,,,Creeping is used here to indicate a similarity to the 'Creepy Liquid' material
mat_aa_hungry_slime_growing,Hungry Slime,Голодная Слизь,Gosma faminta,Aç Balçık,饥饿史莱姆,,,,,,,
mat_aa_ash,Ash,Пепел,Cinzas,Kül,灰烬,,,,,,,
mat_aa_soot,Soot,Сажа,Fuligem,Duman,油烟,,,,,,,
mat_aa_potion_gas,Potion gas,Газ из зелий,Gás de poção,İksir gazı,药水气体,,,,,,,
mat_aa_petrified_moss,Petrified Moss,,Musgo petrificado,Taşlaşmış Yosun,石化苔藓,,,,,,,
mat_aa_solidified_slime,Solidified slime,Затвердевшая слизь,Gosma solidificada,Taşlaşmış balçık,凝固史莱姆,,,,,,,
mat_aa_base_potion,Base Potion,Базовое зелье,Poção de base,Temel Sıvı İksiri,基底药水,,,,,,,
mat_aa_arborium,Arborium,Древесиум,Arbório,Dikim,化木基质,,,,,,,derived from 'Arbour'
mat_aa_catalyst,Catalyst,Катализатор,Catalisador,Katalizör,催化剂,,,,,,,
mat_aa_light_oil,Light Oil,Лёгкая нефть,Óleo leve,Hafif Ham Petrol,轻油,,,,,,,
mat_aa_heavy_oil,Heavy Oil,Тяжёлая нефть,Óleo pesado,Ağır Ham Petrol,重油,,,,,,,
mat_aa_magic_plastic,Magical plastic,Волшебный пластик,Plástico mágico,Sihirli Plastik,魔法塑料,,,,,,,
mat_aa_love,Love,Любовь,Amor,Aşk,爱,,,,,,,
mat_aa_meagre_offering,A Meagre Offering,Скромное подношение,Uma oferenda insuficiente,Yavan Bir Teklif,微薄的供品,,,,,,,
mat_aa_rice,Rice,Рис,Arroz,Pirinç,大米,,,,,,,
mat_aa_icy_inferno,Icy Inferno,Ледяной ад,Inferno gelado,Donmuş Alev,寒冷狱火,,,,,,,intentionally opposing ideas of a hot thing being cold
